Номер маршрута;Тип;Наименование маршрута;Начало;Конец;Протяженность. км;НСБО;НСАОО;Дата начала перевозок;Юридическое лицо
1;Автобус;ул. Энтузиастов – Школа №73;ул.Энтузиастов;ул.Энтузиастов;28.44;да;да;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
1д;Автобус;ул. Энтузиастов – а/п Рощино;ул.Энтузиастов;ул.Энтузиастов;49.59;да;да;01.01.2021;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
2;Автобус;п.Док – ул. Таллинская;п.Док;ул. Таллинская;56.56;да;нет;27.01.2014;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
4;Маршрутное такси;Центральный рынок – п. ММС;Центральный рынок;п. ММС;18.34;да;да;10.09.2011;"ООО ""Тюменьавтотранс"" ИНН 7203372991"
4д;Маршрутное такси;Центральный рынок – ул.Электросетей;Центральный рынок;ул.Электросетей;23.35;да;нет;01.01.2021;"ООО ""Тюменьавтотранс"" ИНН 7203372991"
5;Маршрутное такси;д. Матмасы – мкр. Южный;д. Матмасы;мкр. Южный;32.49;да;да;10.09.2011;ИП Шулепов Сергей Михайлович 625017 ИНН 720400468814
6;Маршрутное такси;ЖК Апрель – с/о Степное;ЖК Апрель; с/о Степное;36.02;нет;да;10.09.2011;ООО «Караван-Авто» 625059 ИНН 7202143759
7;Автобус;ул. Энтузиастов – ул. П. Артамонова;ул. Энтузиастов;ул. П. Артамонова;23.58;да;нет;01.07.2012;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
8;Автобус;ул. Таллинская ? д. Матмасы;ул. Таллинская;д. Матмасы;46.29;да;нет;02.03.2015;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
9;Автобус;Центральный рынок – с/о Лесник;Центральный рынок;с/о Лесник;32.96;да;да;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
10;Автобус;а/п Рощино – Автовокзал;а/п Рощино;Автовокзал;38.7;да;да;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
11;Автобус;Рабочий поселок – Дом Обороны;Рабочий поселок;Дом Обороны;29.95;нет;да;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
11д;Автобус;6 км Старого Тобольского тракта - Дом Обороны;6 км Старого;Дом Обороны;45.29;да;нет;01.01.2021;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
13;Автобус;ул. Прокопия Артамонова – ЖДВ;ул. Прокопия Артамонова;ЖДВ;27.74;да;да;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
14;Автобус;ул. Депутатская – Районная больница;ул. Депутатская;Районная больница;33.24;да;да;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
15;Автобус;мкр.Лесной – мкр. Южный;мкр.Лесной;мкр. Южный;38.15;да;да;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
16;Автобус;ул. Созидателей - ТИУ;ул. Созидателей;индустриальный университет;34.41;да;нет;01.01.2018;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
17;Автобус;мкр. Восточный – ул. Метелёвская;мкр. Восточный;ул. Метелёвская;41.4;да;нет;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
17к;Автобус;мкр. Восточный –  с/о Ласка;мкр. Восточный; с/о Ласка;40.08;да;да;01.01.2021;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
18;Автобус;ул. Газопромысловая – Комбинат хлебопродуктов;ул. Газопромысловая;Комбинат хлебопродуктов;27.08;нет;да;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
20;Автобус;ЖДВ – ул. Ершова;ЖДВ;ул. Ершова;23.63;да;да;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
22;Автобус;СК Здоровье –  ул. Н. Семенова;СК Здоровье; ул. Н. Семенова;23.57;да;да;27.01.2014;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
24;Маршрутное такси;з?д. Нефтемаш – ул. Газопромысловая;з?д. Нефтемаш;ул. Газопромысловая;30.85;да;нет;20.06.2014;"ООО ""Мос-Авто"" 625049 ИНН 7203372060"
25;Автобус;ЖДВ – ул. Таллинская;ЖДВ;ул. Таллинская;28.52;да;нет;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
26;Маршрутное такси;Областная библиотека – Мебельная фабрика;Областная библиотека;Мебельная фабрика;9.8;да;нет;10.09.2011;"ООО ""Мос-Авто"" 625049 ИНН 7203372060"
27;Автобус;ул. Полетаева – ЖДВ;ул. Полетаева;ЖДВ;23.54;да;да;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
29;Маршрутное такси;Городская поликлиника № 8 – мкр. Суходольский;Городская поликлиника № 8;мкр. Суходольский;31.95;да;да;10.09.2011;ООО «Караван-Авто» 625059 ИНН 7202143759
29д;Маршрутное такси;ул. Земляничная – мкр. Суходольский;ул. Земляничная;мкр. Суходольский;39.4;да;да;01.01.2021;ООО «Караван-Авто» 625059 ИНН 7202143759
30;Автобус;мкр. Восточный – Государственный Аграрный Университет;мкр. Восточный;Государственный Аграрный Университет;34.21;да;да;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
32;Автобус;ЖДВ – с/о Приволье;ЖДВ;с/о Приволье;24.95;да;да;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
33;Автобус;ЖДВ – СНТ Ривьера;ЖДВ;СНТ Ривьера;35.21;да;да;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
34;Маршрутное такси;ЖДВ – с/о Березняки;ЖДВ;с/о Березняки;30.54;да;да;10.09.2011;ООО «Караван-Авто» 625059 ИНН 7202143759
35;Автобус;ул. Энергостроителей  – Центральный рынок;ул. Энергостроителей ;Центральный рынок;20.87;нет;да;01.01.2020;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
36;Автобус;Центральный рынок – с/о Лаванда;Центральный рынок;с/о Лаванда;46.73;да;да;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
36к;Автобус;Центральный рынок – с/о Текстильщик;Центральный рынок;с/о Текстильщик;41.16;да;да;01.01.2021;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
37;Маршрутное такси;п. ММС – ул. Пролетарская;п. ММС;ул. Пролетарская;29.53;да;да;10.09.2011;ИП Савельев Андрей Евгеньевич 625056 ИНН 720205152609
39;Автобус;СК Здоровье – ул. Созидателей;СК Здоровье;ул. Созидателей;41.61;да;да;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
40;Автобус;с/о Березняки – ЖК Звездный городок;с/о Березняки;ЖК Звездный городок;31.85;да;да;20.06.2014;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
41;Маршрутное такси;ул. Вересковая – ЖК Юбилейный;ул. Вересковая;ЖК Юбилейный;30.48;да;да;01.01.2020;ИП Шулепов Сергей Михайлович 625017 ИНН 720400468814
42;Маршрутное такси;ул. Таллинская - ЖДВ;ул. Таллинская;Таллинская - ЖДВ;29.93;да;нет;07.07.2014;ИП Савельев Андрей Евгеньевич 625056 ИНН 720205152609
43;Маршрутное такси;Областная библиотека – Рабочий поселок;Областная библиотека;Рабочий поселок;23.87;да;да;10.09.2011;"ООО ""Мос-Авто"" 625049 ИНН 7203372060"
44;Маршрутное такси;ул. Возрождения – кафе Ивушка ;ул. Возрождения;кафе Ивушка;31.62;да;да;10.09.2011;ИП Шулепов Сергей Михайлович 625017 ИНН 720400468814
45;Маршрутное такси;ЖК Звездный городок – ул. Созидателей;ЖК Звездный городок;ул. Созидателей;55;да;нет;10.09.2011;ИП Савельев Андрей Евгеньевич 625056 ИНН 720205152609
46;Автобус;ЖК Звездный городок – ул. Таллинская;ЖК Звездный городок;ул. Таллинская;43.66;нет;нет;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
47;Автобус;ЖК Правобережный – ул.Высотная;ЖК Правобережный;ул.Высотная;32.33;да;да;11.03.2014;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
47д;Автобус;ЖК Правобережный – ул. Вологодская;ЖК Правобережный;ул. Вологодская;34.41;да;да;01.01.2020;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
48;Автобус;п. ММС – ул. Олимпийская;п. ММС;ул. Олимпийская;32.58;да;нет;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
49;Автобус;Мебельная фабрика – ул. Вербная;Мебельная фабрика;ул. Вербная;36.88;да;да;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
50;Маршрутное такси;Очаково – ОБИЛ (Центр нейрохирургии);Очаково;ОБИЛ (Центр нейрохирургии);21.55;да;нет;10.09.2011;ИП Шулепов Сергей Михайлович 625017 ИНН 720400468814
51;Автобус;п. ММС – ул. Энергостроителей;п. ММС;ул. Энергостроителей;44.04;нет;да;15.03.2012;ИП Савельев Андрей Евгеньевич 625056 ИНН 720205152609
51д;Автобус;с/о Русское поле –  ул. Энергостроителей;с/о Русское поле; ул. Энергостроителей;49.37;нет;нет;01.01.2021;ИП Савельев Андрей Евгеньевич 625056 ИНН 720205152609
52;Маршрутное такси;Сквер Немцова – ЖК Москва;Сквер Немцова;ЖК Москва;16.11;нет;да;10.09.2011;ИП Савельев Андрей Евгеньевич 625056 ИНН 720205152609
53;Автобус;мкр. Тюменский – ЖК Звездный городок;мкр. Тюменский;ЖК Звездный городок;43.31;нет;да;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
54;Автобус;ЖК Звездный городок – Жилой район Краснолесье;ЖК Звездный городок;Жилой район Краснолесье;44.76;да;да;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
54д;Автобус;ЖК Звездный городок – а/п Рощино;ЖК Звездный городок;а/п Рощино;53.91;да;да;01.01.2021;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
55;Автобус;п.ДОК –ЖК Акватория;п.ДОК;ЖК Акватория;42.73;да;да;28.10.2013;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
57;Маршрутное такси; ул. Таллинская –  ЖК Плеханово;ул. Таллинская; ЖК Плеханово;34.03;да;да;10.09.2011;ИП Савельев Андрей Евгеньевич 625056 ИНН 720205152609
60;Автобус;ул. Городская – Сквер Петра Потапова;ул. Городская;Сквер Петра Потапова;36.63;да;да;02.03.2015;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
62;Маршрутное такси;Школа №63 – Государственный Аграрный Университет;Школа №63;Государственный Аграрный Университет;37.35;да;да;10.09.2011;"ООО ""Тюменьавтотранс"" ИНН 7203372991"
63;Автобус;з?д. Медоборудования – Тараскуль;з?д. Медоборудования;Тараскуль;62.29;да;да;01.09.2014;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
64;Маршрутное такси;ул. Таллинская – ул. Высотная;ул. Таллинская;ул. Высотная;40.67;да;да;10.09.2011;ИП Савельев Андрей Евгеньевич 625056 ИНН 720205152609
65;Маршрутное такси;с/о Степное – ДНТ Суходольное;с/о Степное;ДНТ Суходольное;54.39;да;да;10.09.2011;"ООО ""Тюменьавтотранс"" ИНН 7203372991"
68;Маршрутное такси;Мыс – ул. Б. Комиссаров;Мыс;ул. Б. Комиссаров;32.9;нет;нет;10.09.2011;ИП Савельев Андрей Евгеньевич 625056 ИНН 720205152609
70;Автобус;ул. Энтузиастов – ЖК Плеханово;ул. Энтузиастов;ЖК Плеханово;29.9;да;нет;23.06.2014;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
73;Маршрутное такси;ЖДВ – ул. Народная;ЖДВ;ул. Народная;28.69;да;да;01.01.2021;ИП Савельев Андрей Евгеньевич 625056 ИНН 720205152609
76;Маршрутное такси;"ул. Газопромысловая – МО МВД России ""Тюменский""";ул. Газопромысловая;"МО МВД России ""Тюменский""";46.01;нет;да;10.09.2011;"ООО ""Мос-Авто"" 625049 ИНН 7203372060"
79;Маршрутное такси;мкр. Восточный – ЖК Москва;мкр. Восточный;ЖК Москва;30.86;да;да;10.09.2011;ООО «Караван-Авто» 625059 ИНН 7202143759
83;Маршрутное такси;ЖДВ – ОБИЛ (Центр нейрохирургии);ЖДВ;ОБИЛ (Центр нейрохирургии);27.07;да;да;01.09.2014;"ООО ""Тюменьавтотранс"" ИНН 7203372991"
84;Маршрутное такси;ЖК Акватория – ОБИЛ (Центр нейрохирургии);ЖК Акватория;ОБИЛ (Центр нейрохирургии);44.71;да;да;10.09.2011;ООО «Караван-Авто» 625059 ИНН 7202143759
85;Автобус;ул. Федюнинского – мкр.Утешево;ул. Федюнинского;мкр.Утешево;45.43;да;да;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
86;Автобус;з?д. Медоборудования – ОБИЛ (Центр нейрохирургии);з?д. Медоборудования;ОБИЛ (Центр нейрохирургии);39.79;да;нет;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
88;Автобус;ЖК Звездный городок – ул. Д. Менделеева;ЖК Звездный городок;ул. Д. Менделеева;40.25;да;нет;03.11.2014;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
89;Автобус;ЖДВ – ул. Созидателей;ЖДВ;ул. Созидателей;29.39;да;да;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
91;Автобус;ОБИЛ (Центр нейрохирургии) – ул. Быковская;ОБИЛ (Центр нейрохирургии);ул. Быковская;28.8;да;да;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
96;Автобус;з?д. Медоборудования – ЖК Москва;з?д. Медоборудования;ЖК Москва;23.01;да;да;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
98;Автобус;ул. Дамбовская – с/о Топаз 2;ул. Дамбовская;с/о Топаз 2;40.37;да;нет;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
99;Автобус;Областная библиотека – с/о Ручеек;Областная библиотека;с/о Ручеек;45.56;нет;да;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
100;Автобус;Центральный рынок – с/о Ручеек;Центральный рынок;с/о Ручеек;29.84;да;нет;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
100к;Автобус;з-д. Медоборудования – с/о Ручеёк;з-д. Медоборудования;с/о Ручеёк;37.36;да;да;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
120;Автобус;III мкр. – Большое Царёво-3;III мкр.;Большое Царёво-3;52.02;да;да;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
120к;Автобус;СК Здоровье – Большое-Царёво-3;СК Здоровье;Большое-Царёво-3;34.94;да;да;01.01.2021;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
121;Автобус;ЖДВ – Червишевское кладбище 2;ЖДВ;Червишевское кладбище 2;26.11;нет;нет;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
128;Автобус;з?д. Медоборудования – с/о Плодовое;з?д. Медоборудования;с/о Плодовое;39.65;да;да;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
128к;Автобус;з?д. Медоборудования – с/о Якорь;з?д. Медоборудования;с/о Якорь;56.01;да;да;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
135;Автобус;Центральный рынок – ДНТ Тура;Центральный рынок;ДНТ Тура;37.56;да;да;10.09.2011;"АО ""ТПАТП №1"" 625019 ИНН 7203193689"
