Номер маршрута;Маршрутки;Автобусы;Наименование маршрута;Начало;Конец;Прямое направление;Обратное направлениие;Протяженность маршрута, км;НСБО;НСАОО;Дата начала осуществления регулярных перевозок;Наименование, место нахождения (для юридического лица), фамилия, имя, и если имеется отчество (для индивидуального предпринимателя), ИНН, которое (-ый) осуществляет перевозки по маршруту
1;;да;ул. Энтузиастов – Школа №73;ул.Энтузиастов;ул.Энтузиастов;ул. Энтузиастов, Детский сад №62, Центр русской культуры, ул. Домостроителей, ул. Губкина, ул. Элеваторная, ул. Гилевская, Барабинская, Областная ГИБДД, ул. Одесская, Травматология, сквер Гимназистов, Родильный дом №2, Школа №37, ул. Фабричная, ул. Холодильная, ул. М. Горького, Сквер Немцова, площадь Центральная, ул. Первомайская, ул. Смоленская, сквер Семёна Пацко, Налоговая инспекция, Ипподром, Президентское кадетское училище, ул. Таврическая, Школа №73;Школа №73, ул. Белинского, ул. Клары Цеткин,Президентское кадетское училище,  Ипподром, Налоговая инспекция, ЖДВ, сквер Семёна Пацко, ул. Смоленская, Цветной бульвар 1, Центральный рынок 1, Станкостроительный завод, Тюменский драматический театр, ул. Фабричная, Родильный дом №2, сквер Гимназистов, ул. Харьковская, Травматология, ул. Одесская, Областная ГИБДД, Барабинская, ул. Гилевская, ул. Элеваторная, ул. Губкина, ул. Домостроителей, Центр русской культуры, Детский сад №62, ул. Энтузиастов;28,44;да;да;10.09.2011;"АО ""ТПАТП №1"" 625019
ИНН 7203193689"
1д;;да;ул. Энтузиастов – а/п Рощино;ул.Энтузиастов;ул.Энтузиастов;ул. Энтузиастов, Детский сад №62, ул. Западносибирская, мкр. Тура, Школа № 67, Озеро Оброчное,, ул. Губкина, ул. Элеваторная, ул. Гилевская, Барабинская, Областная ГИБДД, ул. Одесская, Травматология, сквер Гимназистов, Родильный дом №2, Школа №37, ул. Фабричная, ул. Холодильная, ул. М. Горького, Сквер Немцова, площадь Центральная, ул. Первомайская, ул. Смоленская, сквер Семёна Пацко, Налоговая инспекция, Ипподром, Президентское кадетское училище, ул. Таврическая,Школа №73, Дом Обороны, Больничный комплекс, Гостиница, а/п Рощино;а/п Рощино, Гостиница, Больничный комплекс, ул. Бакинских Комиссаров, Дом Обороны, ул. Белинского, ул. Клары Цеткин, Президентское кадетское училище, Ипподром, Налоговая инспекция, ЖДВ, сквер Семёна Пацко, ул. Смоленская, Цветной бульвар 1, Центральный рынок 1, Станкостроительный завод, Тюменский драматический театр, ул. Фабричная, Родильный дом №2, сквер Гимназистов, ул. Харьковская, Травматология, ул. Одесская, Областная ГИБДД, Барабинская, ул. Гилевская, ул. Элеваторная, ул. Губкина, Озеро Оброчное, Школа № 67, мкр. Тура, ул. Западносибирская, Детский сад №62, ул. Энтузиастов;49,59;да;да;01.01.2021;"АО ""ТПАТП №1"" 625019
ИНН 7203193689"
2;;да;п.Док – ул. Таллинская;п.Док;ул. Таллинская;п.ДОК, ул. Курчатова, ул. Тюменская, ул. Коммунистическая, ул. Подгорная, Сквер Святителя Филофея, Детский сад №55, ул. Полевая, ул. Болотникова, Дом Обороны, з‑д Сибнефтемаш, з‑д Аккумуляторный, ул. Авторемонтная, ТЭМЗ, Школа №51, Сельхозтехника, д. Плеханова, ЖК Колумб, (ул. Закалужская, ул. Панфиловцев) Московский тракт, Спортцентр Энерго, Администрация Тюменского района, ул. Магнитогорская, ул. Транспортная, ул. Пархоменко, Гимназия №49, м‑н Пышма, Школа №69, мкр. Южный, ул. Бахарева, ул. Федюнинского, ул. Федюнинского 43, Ожогина, ул. Николая Семенова, ул. Прокопия Артамонова, ул. Евгения Богдановича, мкр. Тюменский, Сквер Депутатов, Театр Ангажемент, ул. Моторостроителей, Поликлиника, Сквер Десантников, Восточный 3, ул. Теплотехников, ТЭЦ 2, ул. Боровская, ст. Войновка, ул. Таллинская;ул. Таллинская, ст. Войновка, ул. Боровская, ТЭЦ 2, ул. Теплотехников, Восточный 3, Сквер Десантников, Поликлиника, ул. Моторостроителей, Театр Ангажемент, сквер Депутатов, мкр. Тюменский, ул. Евгения Богдановича, ул. Прокопия Артамонова, ул. Н. Семёнова, Ожогина, ул. Федюнинского 43, ул. Федюнинского, мкр. Южный, (ул. Панфиловцев, ул. Закалужская) Школа №69, м‑н Пышма, Гимназия №49, ул. Пархоменко, ул. Транспортная, ул. Магнитогорская, Администрация Тюменского района, Спортцентр Энерго, Универсальный рынок, Московский тракт, ул. Кремлёвская, д. Плеханова, Сельхозтехника, Школа №51, ТЭМЗ, ул. Авторемонтная, з‑д Аккумуляторный, ул. Бакинских Комиссаров, Дом Обороны, Аллея Молодоженов, ул. Льва Толстого, Вечерняя школа №2, Строительный институт ТИУ, Сквер Святителя Филофея, ул. Подгорная, ул. Коммунистическая, ул. Тюменская, ул. Курчатова, п.ДОК.;56.56;да;да;27.01.2014;"АО ""ТПАТП №1"" 625019
ИНН 7203193689"
4;да;;Центральный рынок – п. ММС;Центральный рынок;п. ММС;Центральный рынок, ул. Володарского, Детская поликлиника, ул. Даудельная, ул. Циолковского, Алебашевский базар, озеро Алебашево, Стоматологическая Поликлиника №1, проезд Юганский, УМВД по г.Тюмени, ул. Ветеранов труда, з‑д Керамзитовый, ул. Буровиков, Школа №45, п. ММС, ул. 70 лет Октября, ул. Электросетей;п. ММС, Школа №45, сквер Мелиораторов, ул. Буровиков, з‑д Керамзитовый, УМВД по г.Тюмени, проезд Юганский, Стоматологическая Поликлиника №1, ул. Сеченова, озеро Алебашево, Алебашевский базар, ул. Циолковского, ул. Даудельная, ул. Володарского, Сквер Немцова, Центральный рынок ;18,34;да;да;10.09.2011;"ООО ""Тюменьавтотранс""
ИНН 7203372991 "
4д;да;;Центральный рынок – ул.Электросетей;Центральный рынок;ул.Электросетей;Центральный рынок, ул. Володарского, Детская поликлиника, ул. Даудельная,  ул. Циолковского, Алебашевский базар, озеро Алебашево, Стоматологическая Поликлиника №1, проезд Юганский, УМВД по г.Тюмени, ул. Ветеранов труда, з-д Керамзитовый, ул. Буровиков, Школа №45, п. ММС, ул. 70 лет Октября, ул.Электросетей;ул. Электросетей, п. ММС, Школа №45, сквер Мелиораторов, ул. Буровиков, з-д Керамзитовый, УМВД по г.Тюмени, проезд Юганский, Стоматологическая Поликлиника №1, ул. Сеченова, озеро Алебашево, Алебашевский базар, ул. Циолковского, ул. Даудельная, ул. Володарского, Сквер Немцова, Центральный рынок;23,35;да;да;01.01.2021;"ООО ""Тюменьавтотранс""
ИНН 7203372991"
5;да;;д. Матмасы – мкр. Южный;д. Матмасы;мкр. Южный;д. Матмасы, Детский сад №149, ул. Тимофея Чаркова, с/о Трудовик, Колледж водного транспорта, Сквер Корабельный, ул. Верхнетарманская, п. Тарманы, ул. Игримская, ДК Торфяник, парк им. Гагарина, Озеро Круглое, ул. Разведчика Кузнецова, Мост Мельникайте, Студенческий городок, Областная больница №2, Тюменский индустриальный университет, ул. Рижская, Площадь Памяти, Кардиоцентр,ул. 30 лет Победы, ул. В. Гнаровской, Сквер Победы, ул. Депутатская, АЗС, ул. Революции, ул. Федюнинского, мкр. Южный;мкр. Южный, Школа №69, Городская юношеская библиотека, ул. Пышминская, ул. Молодежная, ул. Демьяна Бедного, ул. Салехардская, Гимназия №83, ул. Депутатская, Сквер Победы, ул. Валерии Гнаровской, Кардиоцентр, ул. Рижская, Тюменский индустриальный университет, Областная больница №2, Студенческий городок, Мост Мельникайте,  ул. Разведчика Кузнецова, Озеро Круглое, ул. Малышева, ДК Торфяник, ул. Игримская, Тарманы, ул. Верхнетарманская, Сквер Корабельный, ул. Беляева, ул. Малиновского, Колледж водного транспорта, с/о Трудовик, ул. Тимофея Чаркова, Детский сад №149, д. Матмасы;32,49;да;да;10.09.2011;"ИП Шулепов Сергей Михайлович 625017
ИНН 720400468814 "
6;да;;ЖК Апрель –  с/о Степное;ЖК Апрель; с/о Степное;ЖК Апрель, Детский сад №42, ул. Революции, ул. Депутатская, Сквер Победы, ул. Валерии Гнаровской, Площадь Памяти, ул. Таймырская, ул. Малыгина, ул. Шиллера, ул. Герцена, Цветной бульвар, ул. Первомайская, ул. Дзержинского, ул. 2-я Луговая, ул. Мысовская, ул. Астраханская, I Заречный микрорайон, II Заречный микрорайон, Автоколонна № 1228, ул. Тимуровцев, ул. Павлова, ул. Магистральная, Биофак, ул.Григория Алексеева, с/о Рябинушка, с/о Нефтяник, с/о Юбилей, ул. Хамита Ярми, ул. Романа Новопашина, ул. Дмитрия Коротчаева, ул. 1-я Школьная, ул. 1-я Молодежная, с/о Степное;с/о Степное, 2-й Мостовой переулок, ул. Казаровская, Школа №52, ул. Хабибуллы Якина, Детский сад №127, Биофак, ул. Магистральная, ул. Павлова, ул. Тимуровцев, Автоколонна №1228, ул.Сеченова, II Заречный микрорайон, I Заречный микрорайон, ул. Мысовская, ул. 2-я Луговая, ул. Советская, гостиница Нефтяник, Администрация г. Тюмени, Центральный рынок, ул. Шиллера, ул. Малыгина, Медицинский колледж, Площадь Памяти,  ул. 30 лет Победы, ул. В. Гнаровской, Сквер Победы, ул. Депутатская, АЗС, ул. Революции, Детский сад №42, ЖК Апрель;36,02;да;да;10.09.2011;"ООО «Караван-Авто» 625059
ИНН 7202143759 "
7;;да;ул. Энтузиастов – ул. П. Артамонова;ул. Энтузиастов;ул. П. Артамонова;ул. Энтузиастов, Детский сад №62, Центр русской культуры, ул. Домостроителей, ул. Губкина, ул. Элеваторная, ул. Гилевская, Барабинская, Областная ГИБДД, з‑д Приборостроительный, Областная больница №1, Медицинский университет, Театральный центр Космос, м‑н Буратино, ДК Строитель, ул. Пермякова, III микрорайон, ул. Евгения Богдановича, ул. В. Гольцова, ул. Станислава Карнацевича, ул. Михаила Сперанского, ул. Прокопия Артамонова;ул. Прокопия Артамонова, ул. Евгения Богдановича, III микрорайон, Торговый центр, ул. Пермякова, ДК Строитель, Театральный центр Космос, Медицинский университет, Областная больница №1, з‑д Приборостроительный, Областная ГИБДД, Барабинская, ул. Гилевская, ул. Элеваторная, ул. Губкина, ул. Домостроителей, Центр русской культуры, Детский сад №62, ул. Энтузиастов;23,58;да;да;01.07.2012;"АО ""ТПАТП №1"" 625019
ИНН 7203193689"
8;;да;ул. Таллинская ‑ д. Матмасы;ул. Таллинская;д. Матмасы;ул. Таллинская, ст. Войновка, ул. Боровская, ТЭЦ 2, ул. Теплотехников, Восточный 3, Сквер Десантников, Поликлиника, ул. Моторостроителей, Детский сад №141, Подъезд к развязке ул. Монтажников, ул. Воровского, Сибнипигазстрой, з‑д Медоборудования, ДК Строитель, м‑н Буратино, Театральный центр Космос, Газпром, ул. Холодильная, ул. Максима Горького, ул. Володарского, Детская поликлиника, ул. Даудельная,  ул. Циолковского, Алебашевский базар, ул. Эрвье, ул. Муравленко, ул. Газовиков, Детская поликлиника, II Заречный микрорайон, Автоколонна №1228, Школа №9, микрорайон Югра, ул. Велижанская, МПАТП №2, Развязка ул. Щербакова, Производственные базы, Проезд к ул. Тимофея Чаркова, ул. Муромская, ул. Газопромысловая, ул. 50 лет Победы, Детский сад №149, д. Матмасы;д. Матмасы, Детский сад №149, ул. 50 лет Победы, ул. Газопромысловая, ул. Муромская, Проезд к ул. Тимофея Чарков, Производственные базы, ул. Усадебная, МПАТП №2, ул. Велижанская,  микрорайон Югра, Школа №9, ул. Сеченова, II Заречный микрорайон, СК Здоровье, Детская поликлника, Филиал библиотеки им. Пушкина, ул. Муравленко, озеро Алебашево, Алебашевский базар, ул. Циолковского, ул. Даудельная, ул. Володарского, Станкостроительный завод, ул. Холодильная, Площадь Памяти, Театральный центр Космос, м‑н Буратино, Школа №17, ДК Строитель, Кросно, ул. Воровского, Подъезд к развязке ул. Монтажников, проезд Монтажников, мкр. Восточный, ул. Таллинская 2, ул. Космонавтов, ул. Таллинская;46,29;да;да;02.03.2015;"АО ""ТПАТП №1"" 625019
ИНН 7203193689"
9;;да;Центральный рынок – с/о Лесник;Центральный рынок;с/о Лесник;Центральный рынок, Сквер  Немцова, м‑н Океан, Площадь Борцов Революции, Набережная, Строительный институт ТИУ, Детский сад №55, ул. Полевая, ул. Болотникова, Дом Обороны, з‑д Сибнефтегазмаш, з‑д Аккумуляторный, ул. Авторемонтная, ТЭМЗ, Школа №51, Сельхозтехника, д. Плеханова, ул. Анатолия Секисова, с/о Лесник;с/о Лесник, ул. Анатолия Секисова,  ЖК Колумб, ул. Кремлёвская, д. Плеханова, Сельхозтехника, Школа №51, ТЭМЗ, ул. Авторемонтная, з‑д Аккумуляторный, ул. Б. Комиссаров, Дом Обороны, Аллея Молодоженов, ул. Льва Толстого, Вечерняя школа №2, Строительный институт ТИУ, Музей, Университетская, Госбанк, Дворец творчества и спорта, Цветной бульвар, Центральный рынок;32,96;да;да;10.09.2011;"АО ""ТПАТП №1"" 625019
ИНН 7203193689"
